drug1, drug2, mechanism, action, property, description
Hydromorphone,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Hydromorphone
Hydromorphone,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Hydromorphone
Hydromorphone,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Hydromorphone
Hydromorphone,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Hydromorphone
Hydromorphone,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Hydromorphone
Hydromorphone,Metoprolol,decrease,1/2,M,The metabolism of Metoprolol can be decreased when combined with Hydromorphone
Hydromorphone,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Hydromorphone
Hydromorphone,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Hydromorphone
Hydromorphone,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Hydromorphone
Hydromorphone,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Hydromorphone
Hydroxychloroquine,Labetalol,decrease,1/2,M,The metabolism of Labetalol can be decreased when combined with Hydroxychloroquine
Hydroxychloroquine,Nebivolol,decrease,1/2,M,The metabolism of Nebivolol can be decreased when combined with Hydroxychloroquine
Hydroxyprogesteronecaproate,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Hydroxyprogesteronecaproate
Hydroxyprogesteronecaproate,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Hydroxyprogesteronecaproate
Hydroxyprogesteronecaproate,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Hydroxyprogesteronecaproate
Hydroxyprogesteronecaproate,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Hydroxyprogesteronecaproate
Hydroxyprogesteronecaproate,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Hydroxyprogesteronecaproate
Hydroxyprogesteronecaproate,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Hydroxyprogesteronecaproate
Ibrutinib,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Ibrutinib
Ibrutinib,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Ibrutinib
Ibrutinib,Methotrimeprazine,decrease,1/2,M,The metabolism of Methotrimeprazine can be decreased when combined with Ibrutinib
Ibrutinib,Metoprolol,decrease,1/2,M,The metabolism of Metoprolol can be decreased when combined with Ibrutinib
Ibrutinib,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Ibrutinib
Ibuprofen,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Ibuprofen
Ibuprofen,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Ibuprofen
Ibuprofen,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Ibuprofen
Ibuprofen,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Ibuprofen
Ibuprofen,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Ibuprofen
Ibuprofen,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Ibuprofen
Ibuprofen,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Ibuprofen
Ibuprofen,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Ibuprofen
Ibuprofen,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Ibuprofen
Ibuprofen,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Ibuprofen
Ibuprofen,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Ibuprofen
Ibuprofen,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Ibuprofen
Icotinib,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Icotinib
Icotinib,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Icotinib
Icotinib,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Icotinib
Icotinib,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Icotinib
Icotinib,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Icotinib
Icotinib,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Icotinib
Icotinib,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Icotinib
Icotinib,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Icotinib
Icotinib,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Icotinib
Icotinib,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Icotinib
Idarubicin,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Idarubicin
Idarubicin,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Idarubicin
Idarubicin,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Idarubicin
Idarubicin,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Idarubicin
Idarubicin,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Idarubicin
Idarubicin,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Idarubicin
Idarubicin,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Idarubicin
Idarubicin,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Idarubicin
Idarubicin,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Idarubicin
Idarubicin,Methotrimeprazine,decrease,1/2,M,The metabolism of Methotrimeprazine can be decreased when combined with Idarubicin
Idarubicin,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Idarubicin
Idarubicin,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Idarubicin
Idarubicin,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Idarubicin
Ifosfamide,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Ifosfamide
Ifosfamide,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Ifosfamide
Ifosfamide,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Ifosfamide
Ifosfamide,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Ifosfamide
Iloperidone,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Iloperidone
Iloperidone,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Iloperidone
Iloperidone,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Iloperidone
Iloperidone,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Iloperidone
Iloperidone,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Iloperidone
Acetazolamide,Amphetamine,decrease,1/2,E,Acetazolamide may decrease the excretion rate of Amphetamine which could result in a higher serum level.
Acetazolamide,Benzphetamine,decrease,1/2,E,Acetazolamide may decrease the excretion rate of Benzphetamine which could result in a higher serum level.
Acetazolamide,Dextroamphetamine,decrease,1/2,E,Acetazolamide may decrease the excretion rate of Dextroamphetamine which could result in a higher serum level.
Acetazolamide,Memantine,decrease,1/2,E,Acetazolamide may decrease the excretion rate of Memantine which could result in a higher serum level.
Acetazolamide,Methamphetamine,decrease,1/2,E,Acetazolamide may decrease the excretion rate of Methamphetamine which could result in a higher serum level.
Acetylsalicylicacid,Amrubicin,decrease,1/2,E,Acetylsalicylicacid may decrease the excretion rate of Amrubicin which could result in a higher serum level.
Amphetamine,Diclofenamide,decrease,1/2,E,Amphetamine may decrease the excretion rate of Diclofenamide which could result in a higher serum level.
Antipyrine,Daunorubicin,decrease,1/2,E,Antipyrine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.
Antipyrine,Doxorubicin,decrease,1/2,E,Antipyrine may decrease the excretion rate of Doxorubicin which could result in a higher serum level.
Antipyrine,Epirubicin,decrease,1/2,E,Antipyrine may decrease the excretion rate of Epirubicin which could result in a higher serum level.
Azelastine,Daunorubicin,decrease,1/2,E,Azelastine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.
Azelastine,Epirubicin,decrease,1/2,E,Azelastine may decrease the excretion rate of Epirubicin which could result in a higher serum level.
Balsalazide,Daunorubicin,decrease,1/2,E,Balsalazide may decrease the excretion rate of Daunorubicin which could result in a higher serum level.
Balsalazide,Doxorubicin,decrease,1/2,E,Balsalazide may decrease the excretion rate of Doxorubicin which could result in a higher serum level.
Balsalazide,Epirubicin,decrease,1/2,E,Balsalazide may decrease the excretion rate of Epirubicin which could result in a higher serum level.
Balsalazide,Idarubicin,decrease,1/2,E,Balsalazide may decrease the excretion rate of Idarubicin which could result in a higher serum level.
Celecoxib,Daunorubicin,decrease,1/2,E,Celecoxib may decrease the excretion rate of Daunorubicin which could result in a higher serum level.
Celecoxib,Epirubicin,decrease,1/2,E,Celecoxib may decrease the excretion rate of Epirubicin which could result in a higher serum level.
Chloroquine,Daunorubicin,decrease,1/2,E,Chloroquine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.
Chloroquine,Epirubicin,decrease,1/2,E,Chloroquine may decrease the excretion rate of Epirubicin which could result in a higher serum level.
Dextroamphetamine,Methazolamide,decrease,1/2,E,Dextroamphetamine may decrease the excretion rate of Methazolamide which could result in a higher serum level.
Diclofenac,Epirubicin,decrease,1/2,E,Diclofenac may decrease the excretion rate of Epirubicin which could result in a higher serum level.
Diclofenac,Idarubicin,decrease,1/2,E,Diclofenac may decrease the excretion rate of Idarubicin which could result in a higher serum level.
Diclofenamide,Memantine,decrease,1/2,E,Diclofenamide may decrease the excretion rate of Memantine which could result in a higher serum level.
Diclofenamide,Methamphetamine,decrease,1/2,E,Diclofenamide may decrease the excretion rate of Methamphetamine which could result in a higher serum level.
Dienogest,Lamotrigine,increase,1/2,E,Dienogest may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.
Diflunisal,Doxorubicin,decrease,1/2,E,Diflunisal may decrease the excretion rate of Doxorubicin which could result in a higher serum level.
Diflunisal,Epirubicin,decrease,1/2,E,Diflunisal may decrease the excretion rate of Epirubicin which could result in a higher serum level.
Diflunisal,Idarubicin,decrease,1/2,E,Diflunisal may decrease the excretion rate of Idarubicin which could result in a higher serum level.
Dorzolamide,Memantine,decrease,1/2,E,Dorzolamide may decrease the excretion rate of Memantine which could result in a higher serum level.
Doxorubicin,Etodolac,decrease,1/2,E,Doxorubicin may decrease the excretion rate of Etodolac which could result in a higher serum level.
Doxorubicin,Etoricoxib,decrease,1/2,E,Doxorubicin may decrease the excretion rate of Etoricoxib which could result in a higher serum level.
Drospirenone,Lamotrigine,increase,1/2,E,Drospirenone may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.
Etoricoxib,Idarubicin,decrease,1/2,E,Etoricoxib may decrease the excretion rate of Idarubicin which could result in a higher serum level.
Flurbiprofen,Idarubicin,decrease,1/2,E,Flurbiprofen may decrease the excretion rate of Idarubicin which could result in a higher serum level.
Gestodene,Lamotrigine,increase,1/2,E,Gestodene may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.
Lamotrigine,Levonorgestrel,increase,1/2,E,Lamotrigine may increase the excretion rate of Levonorgestrel which could result in a lower serum level and potentially a reduction in efficacy.
Lamotrigine,Medroxyprogesteroneacetate,increase,1/2,E,Lamotrigine may increase the excretion rate of Medroxyprogesteroneacetate which could result in a lower serum level and potentially a reduction in efficacy.
Memantine,Methazolamide,decrease,1/2,E,Memantine may decrease the excretion rate of Methazolamide which could result in a higher serum level.
Methamphetamine,Methazolamide,decrease,1/2,E,Methamphetamine may decrease the excretion rate of Methazolamide which could result in a higher serum level.
Aceclofenac,Amrubicin,decrease,2/1,E,Amrubicin may decrease the excretion rate of Aceclofenac which could result in a higher serum level.
Aceclofenac,Daunorubicin,decrease,2/1,E,Daunorubicin may decrease the excretion rate of Aceclofenac which could result in a higher serum level.
Aceclofenac,Doxorubicin,decrease,2/1,E,Doxorubicin may decrease the excretion rate of Aceclofenac which could result in a higher serum level.
Aceclofenac,Epirubicin,decrease,2/1,E,Epirubicin may decrease the excretion rate of Aceclofenac which could result in a higher serum level.
Aceclofenac,Idarubicin,decrease,2/1,E,Idarubicin may decrease the excretion rate of Aceclofenac which could result in a higher serum level.
Acemetacin,Amrubicin,decrease,2/1,E,Amrubicin may decrease the excretion rate of Acemetacin which could result in a higher serum level.
